cust_id,lookalikes
C0001,"[('C0045', 0.495), ('C0068', 0.474), ('C0075', 0.444)]"
C0002,"[('C0133', 0.499), ('C0170', 0.497), ('C0173', 0.476)]"
C0003,"[('C0031', 0.528), ('C0104', 0.466), ('C0088', 0.447)]"
C0004,"[('C0008', 0.613), ('C0065', 0.61), ('C0075', 0.579)]"
C0005,"[('C0162', 0.54), ('C0096', 0.389), ('C0008', 0.358)]"
C0006,"[('C0187', 0.474), ('C0139', 0.462), ('C0028', 0.44)]"
C0007,"[('C0045', 0.371), ('C0181', 0.371), ('C0019', 0.365)]"
C0008,"[('C0057', 0.661), ('C0154', 0.64), ('C0143', 0.62)]"
C0009,"[('C0156', 0.475), ('C0093', 0.464), ('C0049', 0.397)]"
C0010,"[('C0145', 0.449), ('C0092', 0.421), ('C0013', 0.414)]"
C0011,"[('C0084', 0.531), ('C0068', 0.468), ('C0109', 0.456)]"
C0012,"[('C0136', 0.661), ('C0059', 0.578), ('C0076', 0.566)]"
C0013,"[('C0102', 0.535), ('C0141', 0.523), ('C0105', 0.504)]"
C0014,"[('C0128', 0.346), ('C0012', 0.313), ('C0091', 0.272)]"
C0015,"[('C0081', 0.461), ('C0065', 0.315), ('C0113', 0.298)]"
C0016,"[('C0184', 0.567), ('C0102', 0.477), ('C0013', 0.443)]"
C0017,"[('C0104', 0.544), ('C0021', 0.505), ('C0173', 0.494)]"
C0018,"[('C0038', 0.611), ('C0045', 0.484), ('C0161', 0.483)]"
C0019,"[('C0171', 0.511), ('C0155', 0.508), ('C0070', 0.493)]"
C0020,"[('C0159', 0.316), ('C0045', 0.234), ('C0068', 0.195)]"
